University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
Clemson University (CU),"doctorate parks, recreation and tourism mangement",16200.0,0.78,2023.0,1st,nan,,"$18,000",,"$1,800","doctorate parks, recreation and tourism mangement"
Clemson University (CU),nan,16200.0,0.78,2023.0,1st,nan,,"$18,000",,"$1,800",nan
University of California - Los Angeles (UCLA),health policy and management,25000.0,0.97,2023.0,1st,nan,"$25,000",,,,health policy and management
Stanford University (SU),biomedical informatics,51600.0,1.8,2023.0,1st,nan,"$51,600",,,,biomedical informatics
Iowa State University (ISU),molecular biology,25582.0,1.2,2023.0,1st,nan,"$26,232",,,$650,molecular biology
University of North Carolina - Chapel Hill (UNC),statistics and operations research (stor),34000.0,1.53,2023.0,1st,nan,,"$34,000",,,statistics and operations research (stor)
University of Washington (UW),history,30000.0,1.29,2023.0,1st,nan,,"$27,000","$3,000",,history
University of Delaware (UD),computer engineering (phd),31000.0,1.22,2023.0,1st,nan,"$31,000",,,,computer engineering (phd)
University of Rochester (UR),biology,33270.0,1.56,2023.0,,nan,"$33,270",,,,biology
Louisiana State University - Baton Rouge,political science,23000.0,1.06,2023.0,1st,nan,,"$23,000",,,political science
University of Zurich,economics,47400.0,,2023.0,3rd,nan,"$48,000",,,$600,economics
Ohio State University (OSU),biomedical sciences,31400.0,1.57,2023.0,1st,nan,"$31,400",,,,biomedical sciences
university of missouri st. louis,counselor education,11250.0,,2023.0,1st,nan,,"$11,250",,,counselor education
University of Colorado - Boulder (UCB),"phd, materials science &amp; engineering",37600.0,1.47,2023.0,1st,"Don&#39;t remember all required fees,<br>took a guess though I&#39;d have to double check..<br>Needed to pay $200 <span class=""truncated""> to &#34;confirm&#34; enrollment,<br>and also have to pay a bit of the health insurance.<br>Don&#39;t know how much it all comes out to,<br>and there might be other fees.</span>","$38,000",,,$400,"phd, materials science &amp; engineering"
Vanderbilt University,chemical engineering,35000.0,1.52,2023.0,1st,nan,"$35,000",,,,chemical engineering
Washington University in St. Louis (Wash U),sociology,35000.0,1.69,2023.0,1st,nan,"$35,000",,,,sociology
Princeton University,nan,50000.0,1.97,2023.0,,nan,"$50,000",,,,nan
University of Texas - Austin (UT),government,27000.0,1.18,2023.0,1st,"Min.<br>annual support Y1-4 including summer funding (2TA,<br>2 fellowships)<br>Y5-6 22k,<br>no guaranteed <span class=""truncated""> summer funding</span>","$27,000",,,,government
University of Pennsylvania,immunology,40000.0,1.66,2023.0,,nan,"$40,000",,,,immunology
Florida State University (FSU),biomathematics,21000.0,0.9,2023.0,,nan,"$23,000",,,"$2,000",biomathematics
University of Utah,business management,34000.0,1.53,2023.0,1st,"There is another $2,000 traveling stipend per year.<br>","$34,000",,,,business management
Florida State University (FSU),mathematics,21000.0,0.9,2023.0,1st,nan,"$23,000",,,"$2,000",mathematics
University of Central Florida (UCF),chemistry,26067.0,1.13,2023.0,1st,nan,,"$21,067","$5,000",,chemistry
Clemson University (CU),mathematics,20800.0,1.0,2023.0,1st,nan,"$23,000",,,"$2,200",mathematics
Emory University,economics,36376.0,1.56,2023.0,1st,"$36,376 a year - 5 years,<br>100% health insurance (valued at $4,370).<br> 100% Tuition scholarship.<br><span class=""truncated""> Student fees are $461 in Fall &amp; Spring,<br>$265 in Summer.<br>$70 transcript fee (one time only).</span>","$36,376",,,,economics
Stanford University (SU),physics,52000.0,1.81,2023.0,1st,"52000 per 12 month,<br>Physics department,<br>supported by GSF for the first three years.<br>Later years are <span class=""truncated""> supported by TA/RA</span>","$52,000",,,,physics
Indiana University,political science,27000.0,1.25,2023.0,1st,"American politics.<br>22k/10 month contract,<br>5k summers,<br>all fees covered","$27,000",,,,political science
University of California - Santa Barbara (UCSB),theater and dance,29000.0,1.1,2023.0,1st,nan,"$29,000",,,,theater and dance
University of Canterbury,biology,30000.0,,2023.0,1st,nan,"$30,000",,,,biology
Princeton University,economics,52880.0,2.08,2023.0,1st,Additional 3k per year for the first two years,"$52,880",,,,economics
University of Pittsburgh,computer,30000.0,1.45,2023.0,1st,nan,"$30,000",,,,computer
University of Hawaii - Manoa (UH),history,22140.0,0.73,2023.0,1st,9 Month.<br>,,"$22,140",,,history
University of Toronto,classics,40000.0,,2023.0,1st,nan,"$40,000",,,,classics
Brown University,computer science,42412.0,1.86,2023.0,1st,"Additional $1200 first-year supplemental fellowship,<br>full health &amp; dental coverage,<br>full tuition <span class=""truncated""> scholarship.</span>","$42,412",,,,computer science
Rutgers the State University of New Jersey - New Brunswick,epidemiology,48999.0,1.9,2023.0,,"General fellowship - $33,999 stipend,<br>full tuition,<br>and health insurance
President fellowship - <span class=""truncated""> extra $15,000 stiped (Two years fellowship,<br>renewable for another two years max)</span>","$48,999",,,,epidemiology
ESSEC Business School,business,27000.0,,2023.0,1st,"25,200 Euros converted to 27,000 USD.<br>Stipends are non-taxable with no TA/RA requirements.<br>Benefits <span class=""truncated""> like conference,<br>visiting,<br>and other research funds are separate and non-competitive (guaranteed to all).</span>","$27,000",,,,business
University of Pennsylvania,biomedical graduate studies (genomics &amp; computational biology),40000.0,1.66,2023.0,,nan,"$40,000",,,,biomedical graduate studies (genomics &amp; computational biology)
Columbia University (CU),political science,40500.0,1.36,2023.0,1st,nan,,"$34,400","$6,100",,political science
University of California - Davis (UCD),electrical engineering,31500.0,1.31,2023.0,1st,"Funding comes from RA/TA/Fellowship.<br>Stated amounts are derived after deducting taxes,<br>health <span class=""truncated""> insurance,<br>and other fees.</span>",,"$20,700","$10,800",,electrical engineering
University of Wisconsin - Madison (UW),statistics,25555.0,1.12,2023.0,1st,nan,,"$25,555",,,statistics
University of Michigan - Ann Arbor (UM),public health,26500.0,1.15,2023.0,1st,nan,"$26,500",,,,public health
University of Texas - Austin (UT),special education,26000.0,1.14,2023.0,1st,nan,"$26,000",,,,special education
UCLA,public health,27000.0,,2023.0,1st,nan,"$27,000",,,,public health
Pennsylvania State University (Penn State),civil and environmental engineering,38800.0,1.73,2023.0,1st,"The stipend is from a fellowship with base stipend for 10 months being 31500.<br>For summer (2 <span class=""truncated""> months),<br>the total stipend is 7300.<br>The funding package also includes an impressive health insurance coverage.<br>The support extends through 4 years.<br></span>","$38,800",,,,civil and environmental engineering
Columbia University (CU),french,40000.0,1.35,2023.0,,nan,,"$34,000","$6,000",,french
University of Rochester (UR),physics,31500.0,1.47,2023.0,1st,nan,"$31,500",,,,physics
Duke University (DU),sanford school of public policy,38600.0,1.74,2023.0,1st,"RA/TA duties are required only after 1st year.<br>Two first summer fundings are guaranteed.<br>Medical <span class=""truncated""> and dental care includede in the package.</span>","$38,600",,,,sanford school of public policy
University of Wisconsin - Madison (UW),political science,31000.0,1.36,2023.0,1st,"2 year fellowship,<br>includes summer funding.","$31,000",,,,political science
University of Louisville (U of L),urban planning / urban affairs,20000.0,0.97,2023.0,1st,Full tuition waiver and health insurance ,"$20,000",,,,urban planning / urban affairs
Thomas Jefferson University,biomedical,35500.0,1.47,2023.0,1st,nan,"$35,500",,,,biomedical
University of Warwick,behavioural science,19800.0,,2023.0,1st,nan,"$19,800",,,,behavioural science
Duke University (DU),physics,38600.0,1.74,2023.0,1st,nan,"$38,600",,,,physics
University of Texas - El Paso (UTEP),psychology,19500.0,0.93,2023.0,1st,nan,,"$19,500",,,psychology
,psychology,19500.0,,2023.0,1st,nan,,"$19,500",,,psychology
Rutgers the State University of New Jersey - New Brunswick,epidemiology,33999.0,1.32,2023.0,1st,"Full tuition scholarship,<br>full health coverage and stipend.<br>Have to pay mandatory fees out of <span class=""truncated""> pocket </span>","$33,999",,,,epidemiology
Johns Hopkins University (JHU),mental health,27144.0,1.06,2023.0,1st,nan,"$27,144",,,,mental health
Washington State University (WSU),mechanical engineering,23000.0,1.22,2023.0,1st,nan,,"$23,000",,,mechanical engineering
Rice University,applied physics,33957.0,1.55,2023.0,1st,nan,"$35,000",,,"$1,043",applied physics
University of Virginia (UVA),history,30000.0,1.31,2023.0,1st,nan,"$30,000",,,,history
University of Virginia (UVA),history,30000.0,1.31,2023.0,1st,nan,"$30,000",,,,history
Washington University in St. Louis (Wash U),imaging science,37000.0,1.79,2023.0,1st,"The McKelvey School of Engineering will provide an enhancement to your monthly base support to <span class=""truncated""> cover student health fee charges; you are responsible for paying these fees on your student account.</span>","$37,000",,,,imaging science
Yale University (YU),architecture,40530.0,1.64,2023.0,1st,nan,"$40,530",,,,architecture
Duke University (DU),public policy (economics concentration),38600.0,1.74,2023.0,1st,"Fully funded for five years.<br>Summer fellowship guaranteed for first two years.<br>Health and dental <span class=""truncated""> insurance coverage for six years.<br></span>","$38,600",,,,public policy (economics concentration)
University of Central Florida (UCF),text and technology,24000.0,1.04,2023.0,,nan,"$24,000",,,,text and technology
Florida State University (FSU),urban and regional planning,21100.0,0.91,2023.0,1st,Funding through TA.<br>I have to pay for my own health insurance,,"$22,000",,$900,urban and regional planning
Princeton University,east asian studies,47880.0,1.88,2023.0,1st,Additional Grant of $3000 first year of study.<br>No teaching obligations.,"$47,880",,,,east asian studies
Harvard University (HU),east asian languages and civilizations,42840.0,1.5,2023.0,1st,nan,,"$35,700","$7,140",,east asian languages and civilizations
University of California - San Diego (UCSD),political science,29125.0,1.1,2023.0,1st,nan,,"$29,125",,,political science
Colorado School of Mines,nuclear engineering,34000.0,1.52,2023.0,1st,nan,"$34,000",,,,nuclear engineering
University of Wisconsin - Madison (UW),civil engineering,29000.0,1.27,2023.0,1st,nan,"$31,000",,,"$2,000",civil engineering
Stanford University (SU),anthropology,50616.0,1.76,2023.0,1st,nan,"$50,616",,,,anthropology
University of California - Berkeley,bioengineering,46000.0,1.66,2023.0,1st,"Joint program with UCSF
+ $1000 relocation stipend","$46,000",,,,bioengineering
Cornell University (CU),plant pathology and plant-microbe biology,43000.0,1.77,2023.0,1st,Cornell pays my tuition AND healthcare,"$43,000",,,,plant pathology and plant-microbe biology
University of California - Berkeley,energy and resources group,39000.0,1.4,2023.0,1st,nan,"$39,000",,,,energy and resources group
Seton Hall University,biological science,11000.0,0.41,2023.0,1st,nan,"$11,000",,,,biological science
Northeastern University (NU),computer science,50000.0,1.75,2023.0,1st,nan,"$50,000",,,,computer science
University of Alabama - Birmingham (UAB),english,16000.0,0.74,2023.0,6th and up,nan,,"$16,000",,,english
University of California - San Diego (UCSD),chemistry,38000.0,1.44,2023.0,1st,nan,"$38,000",,,,chemistry
Johns Hopkins University (JHU),mechanical engineering,38000.0,1.48,2023.0,1st,"Plus,<br>health insurance and one time matriculation fee","$38,000",,,,mechanical engineering
,community health,26000.0,,2023.0,1st,nan,"$26,000",,,,community health
University of Illinois - Urbana- Champaign (UIUC),community health,26000.0,1.18,2023.0,1st,nan,"$26,000",,,,community health
Rice University,electrical and computer engineering,36000.0,1.65,2023.0,1st,"About $700 for different fees and $600 for health care.<br>generally a decent pay,<br>considering Texas <span class=""truncated""> has no state taxes and living cost in Houston are low compared to other big cities in US.</span>","$36,000",,,,electrical and computer engineering
Carnegie Mellon University (CMU),heinz/phd,28000.0,1.35,2023.0,1st,nan,,"$28,000",,,heinz/phd
Northwestern University (NU),management &amp; organizations &amp; sociology,48500.0,2.0,2023.0,5th,nan,"$48,500",,,,management &amp; organizations &amp; sociology
University of Pittsburgh,bioengineering/bme,33600.0,1.62,2023.0,1st,"Graduate Student Research,<br>I am not a RA or TA.","$33,600",,,,bioengineering/bme
Boston College (BC),sociology,34384.0,1.23,2023.0,1st,"Five years of guaranteed funding (four for students with an MA).<br>Includes tuition waiver and health <span class=""truncated""> insurance in exchange for TA-ing/teaching in later years.<br>Summer research funding guaranteed in first year (~$6000),<br>can apply for summer research funding in later years but it is not guaranteed.</span>",,"$28,500","$6,000",$116,sociology
University of California - Santa Cruz,education,35250.0,1.31,2023.0,1st,School also provides grad students with a yearly housing supplement of 2500.,"$55,125",,,"$19,875",education
Texas Tech University (TTU),media and communication,40900.0,2.02,2023.0,1st,nan,"$40,900",,,,media and communication
University of Pittsburgh,psychology,29810.0,1.44,2023.0,1st,nan,"$30,990",,,"$1,180",psychology
Brandeis University,anthropology,27000.0,0.97,2023.0,1st,nan,,"$27,000",,,anthropology
University of Michigan - Ann Arbor (UM),music,12000.0,0.52,2023.0,,nan,,"$12,000",,,music
University of Wisconsin - Madison (UW),school of journalism and mass communication,20155.0,0.88,2023.0,,nan,,"$22,155",,"$2,000",school of journalism and mass communication
Boston University ,religion,30500.0,,2023.0,1st,nan,"$30,500",,,,religion
University of Utah,math,26000.0,1.17,2023.0,1st,nan,,"$26,000",,,math
UC Santa Cruz,environmental studies,29124.0,,2023.0,1st,nan,,"$29,124",,,environmental studies
University of Virginia (UVA),english,30000.0,1.31,2023.0,1st,nan,"$30,000",,,,english
Georgia Institute of Technology (Georgia Tech),psychology,36247.0,1.56,2023.0,1st,nan,"$37,000",,,$753,psychology
University of Rochester (UR),political science,33000.0,1.54,2023.0,1st,"3 year fellowship,<br>includes summer funding.","$33,000",,,,political science
University of California - Los Angeles (UCLA),economics,32000.0,1.24,2023.0,3rd,Competitive funding available for summer (additional 6k),,"$32,000",,,economics
University of Washington (UW),norwegian,26350.0,1.13,2023.0,1st,nan,,"$27,000",,$650,norwegian
Harvard University (HU),sociology phd,42840.0,1.5,2023.0,1st,nan,"$42,840",,,,sociology phd
Virginia Tech,ewr,27133.0,1.29,2023.0,1st,nan,"$27,624",,,$491,ewr
Northwestern University (NU),management &amp; organizations,47200.0,1.95,2023.0,1st,"$46500 first to third years,<br>$48500 fourth and fifth years","$47,300",,,$100,management &amp; organizations
University of Illinois - Urbana- Champaign (UIUC),information sciences,34000.0,1.55,2023.0,,nan,"$34,000",,,,information sciences
,nan,45000.0,,2023.0,1st,nan,"$45,000",,,,nan
Baylor College of Medicine,graduate school of biomedical sciences,37500.0,1.72,2023.0,4th,nan,"$37,500",,,,graduate school of biomedical sciences
Duke University (DU),chemistry,38600.0,1.74,2023.0,1st,Health and Dental are 100% covered.<br> All fees are covered.,"$38,600",,,,chemistry
University of Delaware (UD),materials science and engineering,36500.0,1.44,2023.0,1st,nan,,"$32,000","$4,500",,materials science and engineering
University of Delaware (UD),materials science and engineering,36500.0,1.44,2023.0,1st,nan,,"$32,000","$4,500",,materials science and engineering
University of Illinois - Urbana- Champaign (UIUC),chemistry,29500.0,1.34,2023.0,1st,nan,"$30,500",,,"$1,000",chemistry
University of Notre Dame (ND),chemistry,34400.0,1.68,2023.0,1st,nan,"$34,400",,,,chemistry
University of Texas - Dallas (UTD),computer science,17550.0,0.81,2023.0,1st,"$1,950/month",,"$17,550",,,computer science
Montana State University (MSU),biochemistry,20000.0,0.96,2023.0,1st,nan,,"$20,000",,,biochemistry
University of Nevada - Reno (UNR),cs,19700.0,0.94,2023.0,2nd,nan,"$24,000",,,"$4,300",cs
University of Pennsylvania,sociology,40500.0,1.68,2023.0,1st,nan,"$40,500",,,,sociology
University of Delaware (UD),chemistry,30500.0,1.2,2023.0,1st,nan,"$30,500",,,,chemistry
University of Texas - Austin (UT),sociology,30100.0,1.32,2023.0,1st,"Six-year financial package.<br>For first year: $20,000 RA/TA/AI Stipend; $8,000 Recruitment <span class=""truncated""> Fellowship; $1,000 Transition/Relocation Fellowship; $1,100 Signing Bonus Fellowship.<br>Years 2-4: $28,000.<br>Years  5-6: $23,000</span>",,"$30,100",,,sociology
University of Colorado - Denver (UCD),geography planning and design,16000.0,0.71,2023.0,1st,nan,"$16,000",,,,geography planning and design
University of California - San Francisco (UCSF),biophysics,46000.0,1.54,2023.0,1st,nan,"$46,000",,,,biophysics
Michigan State University (MSU),linguistics,20000.0,0.98,2023.0,1st,nan,,"$20,000",,,linguistics
Purdue University - West Lafayette,political science,23000.0,1.09,2023.0,1st,nan,"$23,000",,,,political science
University of Tennessee - Knoxville,earth and planetary sciences,20000.0,0.94,2023.0,1st,"20000 for 9 months as TA.<br>The supervisor will pay summer at the same rate.<br>Additional fellowship <span class=""truncated""> 2000 per year for 4 years.</span>",,"$20,000",,,earth and planetary sciences
University of Maryland - College Park (UMD),electrical engineering,45500.0,1.5,2023.0,1st,"4 year university fellowship with guaranteed summer pay (20 hrs/wk).<br>A typical pay increase after <span class=""truncated""> candidacy is guaranteed.<br>Additional funding can be received for a fifth year.<br>
University fees are about $600 per semester,<br>and health insurance is about $1900.<br></span>",,"$37,000","$8,500",,electrical engineering
University of Michigan - Ann Arbor (UM),program in biomedical sciences (pibs),36083.0,1.56,2023.0,1st,nan,"$36,083",,,,program in biomedical sciences (pibs)
Louisiana State University - Baton Rouge,entrepreneurship,29624.0,1.36,2023.0,1st,nan,"$30,667",,,"$1,043",entrepreneurship
University of Notre Dame (ND),electrical engineering,26928.0,1.32,2023.0,1st,nan,,"$27,000",,$72,electrical engineering
University of Wisconsin - Madison (UW),mathematics,30113.0,1.32,2023.0,1st,Additional $3000 welcome check,,"$27,113","$3,000",,mathematics
University of Rochester (UR),chemical engineering,30000.0,1.4,2023.0,1st,"Health insurance is covered,<br>that&#39;s approximately $3500 and $760 mandatory health fee is also <span class=""truncated""> covered.<br></span>","$30,000",,,,chemical engineering
Pennsylvania State University (Penn State),human development and family studies ph.d,24210.0,1.08,2023.0,,summer support also available,,"$24,210",,,human development and family studies ph.d
University of Massachusetts - Amherst (UMass),mfa,10125.0,0.44,2023.0,1st,nan,,"$11,525",,"$1,400",mfa
Cornell University (CU),sociology,39340.0,1.62,2023.0,1st,nan,,"$32,494","$6,846",,sociology
Drexel University (DU),public health,32000.0,1.33,2023.0,1st,nan,"$32,000",,,,public health
University of Colorado - Denver (UCD),geography planning and design,16000.0,0.71,2023.0,1st,nan,"$16,000",,,,geography planning and design
,transportation,16000.0,,2023.0,1st,nan,"$16,000",,,,transportation
University of Minnesota - Twin Cities (UM),chemistry,30000.0,1.31,2023.0,1st,nan,"$30,000",,,,chemistry
Scripps Research Institute (SRI),chemistry,40000.0,1.51,2023.0,1st,nan,"$40,000",,,,chemistry
Cornell University (CU),biomedical engineering,40117.0,1.65,2023.0,1st,nan,"$40,117",,,,biomedical engineering
Purdue University - West Lafayette,nursing,18800.0,0.89,2023.0,1st,nan,,"$18,800",,,nursing
University of Wisconsin - Madison (UW),design studies,23227.0,1.02,2023.0,1st,nan,"$23,227",,,,design studies
,nursing,18800.0,,2023.0,1st,nan,,"$18,800",,,nursing
Indiana University- Purdue University - Indianapolis (IUPUI),biomedical engineering,32000.0,1.55,2023.0,4th,nan,"$32,000",,,,biomedical engineering
Binghamton University - SUNY,mechanical engineering,23000.0,1.11,2023.0,1st,nan,,"$23,000",,,mechanical engineering
Princeton University,history,32000.0,1.26,2023.0,1st,nan,,"$32,000",,,history
University of Wisconsin - Madison (UW),history,45000.0,1.97,2023.0,6th and up,nan,,"$45,000",,,history
Duke University (DU),psychology and neuroscience,38500.0,1.73,2023.0,6th and up,nan,"$38,500",,,,psychology and neuroscience
Iowa State University (ISU),materials science &amp; engineering,29100.0,1.37,2023.0,,before tax,"$30,000",,,$900,materials science &amp; engineering
Johns Hopkins University (JHU),mathematics,34500.0,1.34,2023.0,6th and up,nan,"$34,500",,,,mathematics
Rutgers the State University of New Jersey - Newark,physics,30160.0,1.11,2023.0,1st,nan,"$30,160",,,,physics
Vanderbilt University,psychology,32000.0,1.39,2023.0,4th,nan,"$33,500",,,"$1,500",psychology
University of Virginia (UVA),chemistry,37000.0,1.62,2023.0,1st,"Regular Stipend is $31,000,<br>but I received a $6,000 additional award for the 1st year.","$37,000",,,,chemistry
Pennsylvania State University (Penn State),chemistry,34256.0,1.53,2023.0,1st,nan,"$34,256",,,,chemistry
University of Chicago (UC),molecular engineering,40800.0,1.68,2023.0,1st,nan,"$40,800",,,,molecular engineering
Columbia University (CU),chemical engineering,46680.0,1.57,2023.0,,nan,"$46,680",,,,chemical engineering
University of Illinois - Urbana- Champaign (UIUC),geography,18100.0,0.82,2023.0,1st,nan,,"$19,300",,"$1,200",geography
University of Minnesota - Twin Cities (UM),water resources science,20900.0,0.91,2023.0,,nan,"$22,400",,,"$1,500",water resources science
University of Virginia (UVA),political science,30000.0,1.31,2023.0,1st,"24k base with 6k summer funding,<br>chance for more.<br>Fellowship first year and last semester of your <span class=""truncated""> 5th year.<br>TAship for the rest,<br>competitive RA spots.<br></span>",,"$24,000","$6,000",,political science
University of Michigan - Ann Arbor (UM),materials science and engineering,36084.0,1.56,2023.0,1st,nan,"$36,084",,,,materials science and engineering
University of Notre Dame (ND),chemical and biomolecular engineering,34500.0,1.69,2023.0,1st,nan,"$34,500",,,,chemical and biomolecular engineering
University of Arizona (U of A),chemical engineering,29000.0,1.4,2023.0,1st,nan,"$29,000",,,,chemical engineering
Georgetown University,master of public policy,65000.0,2.11,2023.0,,nan,"$65,000",,,,master of public policy
Cornell University (CU),comparative literature,72886.0,3.01,2023.0,1st,nan,"$72,886",,,,comparative literature
University of Minnesota - Twin Cities (UM),chemistry,29800.0,1.3,2023.0,1st,nan,"$30,000",,,$200,chemistry
Boston University (BU),biomedical engineering,39780.0,1.39,2023.0,1st,"Distinguished fellowship.<br>Stipend is increased to $43,758 after quals","$39,780",,,,biomedical engineering
University of Southern California (USC),cinema and media studies,38700.0,1.5,2023.0,,Full funding for 5 years with adjustment for inflation,"$38,700",,,,cinema and media studies
University of Texas - Austin (UT),aerospace,35000.0,1.53,2023.0,1st,nan,"$35,000",,,,aerospace
University of Illinois - Urbana- Champaign (UIUC),chemistry,31000.0,1.41,2023.0,1st,nan,"$31,500",,,$500,chemistry
Northwestern University (NU),chemical engineering,36960.0,1.52,2023.0,,nan,"$36,960",,,,chemical engineering
University of Virginia (UVA),computer science,35000.0,1.53,2023.0,1st,nan,"$35,000",,,,computer science
Johns Hopkins University (JHU),history,34000.0,1.32,2023.0,1st,"One time $500 fee,<br>includes a $4k research stipend and health,<br>dental,<br>and vision insurance paid <span class=""truncated""> for.<br></span>","$34,500",,,$500,history
Duke University (DU),political science,38600.0,1.74,2023.0,1st,nan,,"$28,950","$9,650",,political science
University of New Mexico (UNM),physics and astronomy,31200.0,1.48,2023.0,1st,Annual stipend for incoming fellowship offer.<br>Tuition free.,"$31,200",,,,physics and astronomy
Tufts University (TU),neuroscience,41000.0,1.47,2023.0,1st,nan,"$41,000",,,,neuroscience
University of Wisconsin - Madison (UW),information,24794.0,1.09,2023.0,1st,Need to pay segregated fees if exceed 8 credit hours one semester,,"$25,555",,$761,information
McMaster University ,"communication, new media, and cultural studies",13500.0,,2023.0,1st,nan,"$13,500",,,,"communication, new media, and cultural studies"
University of Maryland - College Park (UMD),the department of computer science,31562.0,1.04,2023.0,1st,nan,"$31,562",,,,the department of computer science
Arizona State University (ASU),anthropology,24586.0,1.11,2023.0,1st,nan,"$24,586",,,,anthropology
Northeastern University (NU),criminology,25500.0,0.89,2023.0,1st,nan,"$26,000",,,$500,criminology
University of Southern California (USC),urban education policy,38700.0,1.5,2023.0,1st,nan,"$38,700",,,,urban education policy
University of Chicago (UC),social work,35000.0,1.44,2023.0,1st,nan,"$35,000",,,,social work
Emory University,political science,35000.0,1.5,2023.0,1st,nan,"$35,000",,,,political science
University of Texas - Austin (UT),government,27000.0,1.18,2023.0,1st,nan,"$27,000",,,,government
Washington University in St. Louis (Wash U),music,40000.0,1.93,2023.0,1st,nan,"$40,000",,,,music
Binghamton University - SUNY,anthropology,19470.0,0.94,2023.0,1st,nan,"$19,470",,,,anthropology
University of California - Davis (UCD),chemistry,18000.0,0.75,2023.0,1st,nan,"$18,000",,,,chemistry
University of Utah,biomedical engineering,27867.0,1.25,2023.0,1st,nan,"$30,600",,,"$2,733",biomedical engineering
Rice University,art history,31300.0,1.43,2023.0,1st,nan,"$32,000",,,$700,art history
University of Wisconsin - Madison (UW),medical physics,32640.0,1.43,2023.0,1st,nan,"$33,400",,,$760,medical physics
University of Oregon (UO),anthropology,22047.0,1.05,2023.0,1st,nan,,"$16,695","$5,565",$213,anthropology
,medical physics,32640.0,,2023.0,1st,nan,"$33,400",,,$760,medical physics
Indiana University,criminal justice,21283.0,0.99,2023.0,1st,nan,"$22,000",,,$717,criminal justice
University of Missouri (MU),political science,20000.0,0.97,2023.0,1st,nan,"$20,000",,,,political science
University of Wisconsin - Madison (UW),norwegian and hermanic studies,22850.0,1.0,2023.0,1st,nan,,"$23,500",,$650,norwegian and hermanic studies
Arizona State University (ASU),sms,31700.0,1.43,2023.0,1st,nan,,"$24,500","$8,000",$800,sms
University of Texas - Austin (UT),theatre/ performance as public practice,25470.0,1.12,2023.0,1st,nan,,"$21,670","$4,000",$200,theatre/ performance as public practice
University of Colorado - Boulder (UCB),information science,28358.0,1.11,2023.0,,"Fee information at: https://www.colorado.edu/bursar/costs/tuition-fee-rate-sheets.<br>Fee waivers <span class=""truncated""> available</span>",,"$28,558",,$200,information science
University of Washington (UW),human centered design and engineering (hcde),27801.0,1.19,2023.0,,"For fee information,<br>see: <span class=""truncated""> https://www.washington.edu/opb/tuition-fees/current-tuition-and-fees-dashboards/graduate-tuition-dashboard/</span>",,"$27,801",,,human centered design and engineering (hcde)
Northwestern University (NU),"media, technology, society (mts)",36960.0,1.52,2023.0,,Fee information: https://www.northwestern.edu/sfs/payments/common-fees/index.html,"$36,960",,,,"media, technology, society (mts)"
University of Akron,polymer science,30000.0,1.52,2023.0,1st,nan,"$30,000",,,,polymer science
University of Akron,polymer science,30000.0,1.52,2023.0,1st,nan,"$30,000",,,,polymer science
University of Akron,polymer science,30000.0,1.52,2023.0,1st,nan,"$30,000",,,,polymer science
University of Washington (UW),norwegian,26350.0,1.13,2023.0,1st,nan,,"$27,000",,$650,norwegian
Yale University (YU),biological sciences,43500.0,1.76,2023.0,1st,nan,"$43,500",,,,biological sciences
Brown University,epidemiology,42125.0,1.85,2023.0,1st,nan,"$42,125",,,,epidemiology
University of Michigan - Ann Arbor (UM),computer science,37000.0,1.6,2023.0,1st,Coming in with NSF Fellowship.,"$37,000",,,,computer science
University of Wisconsin - Madison (UW),chemistry,29307.0,1.28,2023.0,1st,nan,"$31,244",,,"$1,937",chemistry
Brown University,sociology,42000.0,1.85,2023.0,1st,nan,"$42,000",,,,sociology
University of Minnesota - Twin Cities (UM),electrical engineering,22700.0,0.99,2023.0,1st,nan,,"$22,700",,,electrical engineering
University of Chicago (UC),cinema and media studies,37000.0,1.53,2023.0,1st,9 years of guaranteed funding,"$37,000",,,,cinema and media studies
Tulane University (TU),anthropology,25000.0,1.08,2023.0,1st,nan,"$25,000",,,,anthropology
University of Southern California (USC),english,35700.0,1.38,2023.0,1st,nan,,"$35,700",,,english
University of Texas - Austin (UT),"computational sciences, engineering, and mathematics",40000.0,1.75,2023.0,,"4/5 years are fully funded with this amount yearly,<br>not sure what&#39;s supposed to happen during the <span class=""truncated""> 5th year.</span>","$40,000",,,,"computational sciences, engineering, and mathematics"
University of South Carolina (USC),ee,42000.0,1.86,2023.0,1st,1st year PhD with fellowship,"$42,000",,,,ee
Princeton University,electrical and computer engineering,50400.0,1.98,2023.0,1st,"Ignore below,<br>chose wrong academic year.",,"$42,000","$8,400",,electrical and computer engineering
Iowa State University (ISU),biology,24166.0,1.14,2023.0,1st,nan,"$25,466",,,"$1,300",biology
University of California - San Diego (UCSD),computer science and engineering,32850.0,1.24,2023.0,1st,nan,,"$32,850",,,computer science and engineering
Johns Hopkins University (JHU),electrical and computer engineering,37600.0,1.46,2023.0,1st,nan,"$37,600",,,,electrical and computer engineering
Johns Hopkins University (JHU),electrical and computer engineering,37600.0,1.46,2023.0,1st,nan,"$37,600",,,,electrical and computer engineering
University of Wisconsin - Madison (UW),computer science,25555.0,1.12,2023.0,1st,nan,,"$25,555",,,computer science
University of Pennsylvania,communication,40500.0,1.68,2023.0,1st,nan,,"$35,000","$5,500",,communication
